FirstLetter,SecondLetter,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ID,sentence,CorrectResp,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correct,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,5.243013403000077,None,5.243013403000077,None,0.015534888891124865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1023,RSpan,2020.2.4,59.91464559637001,
,,,,,,,,,,,,,,,,,,,5.526574327999697,None,5.526574327999697,None,0.013441378901916323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1023,RSpan,2020.2.4,59.91464559637001,
,,,,,,,,,,,,,,,,,,,,,,,,,5.810051418000512,None,5.810051418000512,None,0.014158744899759768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1023,RSpan,2020.2.4,59.91464559637001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.165699946999666,None,6.165699946999666,None,0.014200436900864588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1023,RSpan,2020.2.4,59.91464559637001,
1,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5670562100021925,7.581804736000777,7.5487086749999435,None,-0.39,-0.4211111111111111,1,0,0,None,None,0,1.1323480379978719,-0.39,-0.4211111111111111,1,0,0,1.1223403069998312,exitButton,0.014125787896773545,None,[],[],[],[],[],[],[],0.014125787896773545,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,8.597937319998891,None,-0.39,-0.4211111111111111,1,0,0,0.014125787896773545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1023,RSpan,2020.2.4,59.91464559637001,
2,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.714856605001842,10.715146319998894,10.698585196001659,None,-0.39,-0.4211111111111111,1,0,0,None,None,0,0.31436322100125835,-0.39,-0.4211111111111111,1,0,0,0.30465657300010207,exitButton,0.014620245900005102,None,[],[],[],[],[],[],[],0.014620245900005102,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,11.715233507002267,None,-0.39,-0.4211111111111111,1,0,0,0.014620245900005102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1023,RSpan,2020.2.4,59.91464559637001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.016210330999456,None,12.016210330999456,None,0.010012905800977023,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1023,RSpan,2020.2.4,59.91464559637001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78229023699896,None,12.78229023699896,None,0.013788462896627607,None,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1023,RSpan,2020.2.4,59.91464559637001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.11541181299981,None,13.11541181299981,None,0.0141329568978108,None,,,,,,,,,,,,,,001,,,2021_Aug_29_1023,RSpan,2020.2.4,59.91464559637001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.548390095998911,None,13.548390095998911,None,-0.22777777777777777,-0.17222222222222222,1,0,0,0.9424379459996999,0.0064490277945878915,None,,,,,,,,,
