FirstLetter,SecondLetter,ID,sentence,CorrectResp,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correct,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,senseText.started,senseText.stopped,trueButton.started,trueButton.stopped,trueText.started,trueText.stopped,falseButton.started,falseButton.stopped,falseText.started,falseText.stopped,mouse12.x,mouse12.y,mouse12.leftButton,mouse12.midButton,mouse12.rightButton,mouse12.time,mouse12.clicked_name,mouse12.started,mouse12.stopped,sentenceFeedback2.started,sentenceFeedback2.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,4.782371552999393,None,4.782371552999393,None,0.015527868192293681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1025,RSpan,2020.2.4,60.198394162670745,
,,,,,,,,,,,,,,,,,,,4.882200377000117,None,4.882200377000117,None,0.014709958799357992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1025,RSpan,2020.2.4,60.198394162670745,
,,,,,,,,,,,,,,,,,,,,,,,,,5.09921506399769,None,5.09921506399769,None,0.013899267800297821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1025,RSpan,2020.2.4,60.198394162670745,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.348461434998171,None,5.348461434998171,None,0.014363047801452922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1025,RSpan,2020.2.4,60.198394162670745,
1,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.716193549997115,6.729959524000151,6.696436653997807,None,-0.44333333333333336,-0.4022222222222222,1,0,0,None,None,0,0.4474584710005729,-0.44333333333333336,-0.4022222222222222,1,0,0,0.4358870489995752,exitButton,0.014178272798744729,None,[],[],[],[],[],[],[],0.014178272798744729,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,7.7292505980003625,None,-0.44333333333333336,-0.4022222222222222,1,0,0,0.014178272798744729,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1025,RSpan,2020.2.4,60.198394162670745,
2,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16256161399724,9.163205075998121,9.146442673998536,None,-0.4111111111111111,-0.38333333333333336,1,0,0,None,None,0,0.3153824330001953,-0.4111111111111111,-0.38333333333333336,1,0,0,0.3044519159993797,exitButton,0.014802155797951855,None,[],[],[],[],[],[],[],0.014802155797951855,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,10.16257989499718,None,-0.4111111111111111,-0.38333333333333336,1,0,0,0.014802155797951855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1025,RSpan,2020.2.4,60.198394162670745,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.464946911997686,None,10.464946911997686,None,0.009609164600988152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1025,RSpan,2020.2.4,60.198394162670745,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.112788106998778,None,11.112788106998778,None,0.013290366801811615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1025,RSpan,2020.2.4,60.198394162670745,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.479907143999299,None,11.479907143999299,None,0.014279354803875322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1025,RSpan,2020.2.4,60.198394162670745,
,,1,Andy was stopped by the policeman because he crossed the yellow heaven.   ,correct,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9824853599966445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.929827126998134,None,11.929827126998134,None,-0.3711111111111111,-0.3377777777777778,1,0,0,0.5107577909984684,0.008663395601615775,None,12.446036037999875,None,12.446036037999875,None,12.446036037999875,None,12.446036037999875,None,12.446036037999875,None,-0.21222222222222223,-0.21777777777777776,1,0,0,0.9821740530023817,trueButton,0.010223137800494442,None,13.428979877000529,None,,001,,,2021_Aug_29_1025,RSpan,2020.2.4,60.198394162670745,
