FirstLetter,SecondLetter,ID,Weight,sentence,CorrectResp,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correct,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,senseText.started,senseText.stopped,trueButton.started,trueButton.stopped,trueText.started,trueText.stopped,falseButton.started,falseButton.stopped,falseText.started,falseText.stopped,mouse12.x,mouse12.y,mouse12.leftButton,mouse12.midButton,mouse12.rightButton,mouse12.time,mouse12.clicked_name,mouse12.started,mouse12.stopped,sentenceFeedback1.started,sentenceFeedback1.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,5.156640514032915,None,5.156640514032915,None,0.01633795420639217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1437,RSpan,2020.2.4,59.862775007231036,
,,,,,,,,,,,,,,,,,,,,7.445059409015812,None,7.445059409015812,None,0.01369237806648016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1437,RSpan,2020.2.4,59.862775007231036,
,,,,,,,,,,,,,,,,,,,,,,,,,,7.756368297035806,None,7.756368297035806,None,0.014217840100172907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1437,RSpan,2020.2.4,59.862775007231036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.159064630046487,None,8.159064630046487,None,0.014171510119922459,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1437,RSpan,2020.2.4,59.862775007231036,
1,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.691636188013945,9.691517764003947,9.65832578705158,None,-0.38,-0.38666666666666666,1,0,0,None,None,0,3.297436320979614,-0.3,0.08,1,0,0,0.9879836619948037,exitButton,0.014130603114608675,None,[],[],[],[],[],[],[],0.014130603114608675,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,10.69088475703029,None,-0.38,-0.38666666666666666,1,0,0,0.014130603114608675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1437,RSpan,2020.2.4,59.862775007231036,
2,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.973504423047416,14.97465876705246,14.95794241502881,None,-0.36333333333333334,-0.37555555555555553,1,0,0,None,None,0,7.1146638299687766,-0.31,-0.19777777777777777,1,0,0,0.9396324219997041,exitButton,0.01473817607620731,None,[],[],[],[],[],[],[],0.01473817607620731,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,15.97461677301908,None,-0.36333333333333334,-0.37555555555555553,1,0,0,0.01473817607620731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1437,RSpan,2020.2.4,59.862775007231036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.076147921034135,None,23.076147921034135,None,0.010387008194811642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1437,RSpan,2020.2.4,59.862775007231036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.15857947600307,None,25.15857947600307,None,0.013563049084041268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1437,RSpan,2020.2.4,59.862775007231036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.490572523034643,None,25.490572523034643,None,0.015471962105948478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1437,RSpan,2020.2.4,59.862775007231036,
,,12,None,Paul is afraid of heights and refuses to fly on a plane.,True,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.876307888014708,None,25.876307888014708,None,-0.2788888888888889,-0.25666666666666665,1,0,0,1.094911580963526,0.010935537226032466,None,26.990931051026564,None,26.990931051026564,None,26.990931051026564,None,26.990931051026564,None,26.990931051026564,None,-0.22,-0.21666666666666667,1,0,0,1.0375840699998662,trueButton,0.011766424111556262,None,26.990931051026564,None,,001,,,2021_Aug_28_1437,RSpan,2020.2.4,59.862775007231036,
