FirstLetter,SecondLetter,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ID,sentence,CorrectResp,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correct,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.402261772999992,None,7.402261772999992,None,0.004129401400035704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1606,RSpan,2020.2.4,59.82608902911345,
,,,,,,,,,,,,,,,,,,,8.252433432000004,None,8.252433432000004,None,0.013244536399980689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1606,RSpan,2020.2.4,59.82608902911345,
,,,,,,,,,,,,,,,,,,,,,,,,,8.47763874399999,None,8.47763874399999,None,0.015728525399993032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1606,RSpan,2020.2.4,59.82608902911345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.661844653999992,None,8.661844653999992,None,0.014181244399992465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1606,RSpan,2020.2.4,59.82608902911345,
1,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91077990399998,9.912425256000006,9.878308701999998,None,-0.36666666666666664,-0.3977777777777778,1,0,0,None,None,0,1.3922899750000113,-0.2822222222222222,0.07666666666666666,1,0,0,0.27048467800000253,exitButton,0.014541177400019478,None,[],[],[],[],[],[],[],0.014541177400019478,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,10.911513007999986,None,-0.36666666666666664,-0.3977777777777778,1,0,0,0.014541177400019478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1606,RSpan,2020.2.4,59.82608902911345,
2,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.295492701,13.295665609999986,13.27846344599999,None,-0.36333333333333334,-0.4088888888888889,1,0,0,None,None,0,0.3298405610000259,-0.36333333333333334,-0.4088888888888889,1,0,0,0.32124828999999977,exitButton,0.01534607439998581,None,[],[],[],[],[],[],[],0.01534607439998581,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,14.295319495000001,None,-0.36333333333333334,-0.4088888888888889,1,0,0,0.01534607439998581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1606,RSpan,2020.2.4,59.82608902911345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.611664993000005,None,14.611664993000005,None,0.009736004799975717,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1606,RSpan,2020.2.4,59.82608902911345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.276932061999986,None,15.276932061999986,None,0.015101398399991695,None,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1606,RSpan,2020.2.4,59.82608902911345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.678985584000003,None,15.678985584000003,None,0.014502807399992435,None,,,,,,,,,,,,,,001,,,2021_Aug_28_1606,RSpan,2020.2.4,59.82608902911345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.160760286999988,None,16.160760286999988,None,-0.29777777777777775,-0.28444444444444444,1,0,0,0.7088496589999806,0.005411558800005878,None,,,,,,,,,
