ID,Weight,Letters,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,4.580762315017637,None,4.580762315017637,None,0.008931435993872583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1209,RSpan,2020.2.4,60.16579973655535,
,,,,,,,,,,,,,4.881047076021787,None,4.881047076021787,None,0.013717014342546463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1209,RSpan,2020.2.4,60.16579973655535,
,,,,,,,,,,,,,,,,,,,5.1309070530114695,None,5.1309070530114695,None,0.01390003232518211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1209,RSpan,2020.2.4,60.16579973655535,
,,,,,,,,,,,,,,,,,,,,,,,,,5.346396096982062,None,5.346396096982062,None,0.014691617281641811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1209,RSpan,2020.2.4,60.16579973655535,
9,1,N,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,5.781292769999709,None,-0.3466666666666667,-0.38333333333333336,1,0,0,None,None,0.20555555555555555,0.09,1,0,0,1.5160546120023355,exitButton,0.015018949226941913,None,[],[],[],[],[],[],[],0.015018949226941913,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,6.797474428021815,None,-0.3466666666666667,-0.38333333333333336,1,0,0,0.015018949226941913,1.063155100273434,,001,,,2021_Aug_28_1209,RSpan,2020.2.4,60.16579973655535,
6,1,K,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,10.4807109219837,None,-0.41444444444444445,-0.40444444444444444,1,0,0,None,None,-0.29888888888888887,-0.21555555555555556,1,0,0,1.4710115409689024,exitButton,0.015081418328918517,None,[],[],[],[],[],[],[],0.015081418328918517,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,11.4972166439984,None,-0.41444444444444445,-0.40444444444444444,1,0,0,0.015081418328918517,1.0470116733340546,,001,,,2021_Aug_28_1209,RSpan,2020.2.4,60.16579973655535,
7,1,T,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,13.547392631997354,None,-0.41,-0.40444444444444444,1,0,0,None,None,0.20555555555555555,0.3022222222222222,1,0,0,2.3061889139935374,exitButton,0.015068345237523317,None,[],[],[],[],[],[],[],0.015068345237523317,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,14.564661190030165,None,-0.41,-0.40444444444444444,1,0,0,0.015068345237523317,1.047208981239237,,001,,,2021_Aug_28_1209,RSpan,2020.2.4,60.16579973655535,
2,1,P,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,17.613943645032123,None,-0.37666666666666665,-0.38666666666666666,1,0,0,None,None,-0.29333333333333333,0.1988888888888889,1,0,0,1.4214183069998398,exitButton,0.015035896271001548,None,[],[],[],[],[],[],[],0.015035896271001548,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,18.63129306101473,None,-0.37666666666666665,-0.38666666666666666,1,0,0,0.015035896271001548,1.0302589773200452,,001,,,2021_Aug_28_1209,RSpan,2020.2.4,60.16579973655535,
3,1,Q,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,20.781391676981002,None,-0.37444444444444447,-0.38,1,0,0,None,None,-0.29888888888888887,0.09555555555555556,1,0,0,0.9565893380204216,exitButton,0.015078256314154714,None,[],[],[],[],[],[],[],0.015078256314154714,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,21.798008190002292,None,-0.37444444444444447,-0.38,1,0,0,0.015078256314154714,1.0291925392812118,,001,,,2021_Aug_28_1209,RSpan,2020.2.4,60.16579973655535,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.381495580018964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
