FirstLetter,SecondLetter,ID,sentence,CorrectResp,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correct,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,senseText.started,senseText.stopped,trueButton.started,trueButton.stopped,trueText.started,trueText.stopped,falseButton.started,falseButton.stopped,falseText.started,falseText.stopped,mouse12.x,mouse12.y,mouse12.leftButton,mouse12.midButton,mouse12.rightButton,mouse12.time,mouse12.clicked_name,mouse12.started,mouse12.stopped,sentenceFeedback2.started,sentenceFeedback2.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,4.692766748001304,None,4.692766748001304,None,0.010825829103850992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1026,RSpan,2020.2.4,60.32842480807043,
,,,,,,,,,,,,,,,,,,,5.380623811000987,None,5.380623811000987,None,0.01394182029980584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1026,RSpan,2020.2.4,60.32842480807043,
,,,,,,,,,,,,,,,,,,,,,,,,,5.742501108001306,None,5.742501108001306,None,0.014156894299958367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1026,RSpan,2020.2.4,60.32842480807043,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.059668736001186,None,6.059668736001186,None,0.014247351300582523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1026,RSpan,2020.2.4,60.32842480807043,
1,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.461617073000525,7.461531194003328,7.444912766000925,None,-0.4588888888888889,-0.38555555555555554,1,0,0,None,None,0,0.4986964870004158,-0.4588888888888889,-0.38555555555555554,1,0,0,0.4885552590021689,exitButton,0.014404258305148687,None,[],[],[],[],[],[],[],0.014404258305148687,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,8.478560663003009,None,-0.4588888888888889,-0.38555555555555554,1,0,0,0.014404258305148687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1026,RSpan,2020.2.4,60.32842480807043,
2,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.961075475002872,9.961626152002282,9.944642330003262,None,-0.37,-0.38666666666666666,1,0,0,None,None,0,0.8432432289991993,-0.2388888888888889,-0.18666666666666668,1,0,0,0.27160915700005717,exitButton,0.014787357304157922,None,[],[],[],[],[],[],[],0.014787357304157922,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,10.96080745600193,None,-0.37,-0.38666666666666666,1,0,0,0.014787357304157922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1026,RSpan,2020.2.4,60.32842480807043,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.794367091002641,None,11.794367091002641,None,0.01614991260066745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1026,RSpan,2020.2.4,60.32842480807043,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.444121793003433,None,12.444121793003433,None,0.014022125302290078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1026,RSpan,2020.2.4,60.32842480807043,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.744550864001212,None,12.744550864001212,None,0.014131133299088106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1026,RSpan,2020.2.4,60.32842480807043,
,,1,Andy was stopped by the policeman because he crossed the yellow heaven.   ,correct,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.4647950690014113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.093996288000199,None,13.093996288000199,None,-0.17444444444444446,-0.20777777777777778,1,0,0,0.43997998000122607,0.005438746600702871,None,13.54399607600135,None,13.54399607600135,None,13.54399607600135,None,13.54399607600135,None,13.54399607600135,None,-0.17444444444444446,-0.20777777777777778,1,0,0,0.4645491389965173,trueButton,0.010790123302285792,None,14.010924766000244,None,,001,,,2021_Aug_29_1026,RSpan,2020.2.4,60.32842480807043,
