FirstLetter,SecondLetter,ID,Weight,sentence,CorrectResp,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correct,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,senseText.started,senseText.stopped,trueButton.started,trueButton.stopped,trueText.started,trueText.stopped,falseButton.started,falseButton.stopped,falseText.started,falseText.stopped,mouse12.x,mouse12.y,mouse12.leftButton,mouse12.midButton,mouse12.rightButton,mouse12.time,mouse12.clicked_name,mouse12.started,mouse12.stopped,sentenceFeedback1.started,sentenceFeedback1.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,7,None,"No matter how much we talk to him, he is never going to change.",True,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.541361552022863,None,16.541361552022863,None,-0.21222222222222223,-0.21,1,0,0,1.7836768219713122,0.016025118296965957,None,18.32624443602981,None,18.32624443602981,None,18.32624443602981,None,18.32624443602981,None,18.32624443602981,None,-0.22,-0.20444444444444446,1,0,0,0.6354273189790547,trueButton,0.01244671776657924,None,18.32624443602981,None,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,14,None,Most people who laugh are concerned about controlling their weight.,False,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.975707844016142,None,18.975707844016142,None,-0.22,-0.20444444444444446,1,0,0,0.8672078209929168,0.014483789389487356,None,19.84554172202479,None,19.84554172202479,None,19.84554172202479,None,19.84554172202479,None,19.84554172202479,None,-0.22,-0.20333333333333334,1,0,0,0.5339260839973576,trueButton,0.01190627965843305,None,19.84554172202479,None,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,13,None,The young pencil kept his eyes closed until he was told to look.,False,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.391664559021592,None,20.391664559021592,None,-0.22,-0.20333333333333334,1,0,0,0.36710925603983924,0.00017654563998803496,None,20.759600322053302,None,20.759600322053302,None,20.759600322053302,None,20.759600322053302,None,20.759600322053302,None,-0.22,-0.20333333333333334,1,0,0,0.3837822290370241,trueButton,0.01246043568244204,None,20.759600322053302,None,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,10,None,We were fifty lawns out at sea before we lost sight of land.,False,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.158966836053878,None,21.158966836053878,None,-0.22,-0.20333333333333334,1,0,0,0.301821478002239,0.016249834385234863,None,21.475286776025314,None,21.475286776025314,None,21.475286776025314,None,21.475286776025314,None,21.475286776025314,None,-0.22,-0.20333333333333334,1,0,0,0.2839622239698656,trueButton,0.012039681663736701,None,21.475286776025314,None,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,15,None,When Lori shops she always looks for the lowest flood.,False,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.758452307025436,None,21.758452307025436,None,-0.22,-0.20333333333333334,1,0,0,0.5359469139948487,0.016339376394171268,None,22.29545767500531,None,22.29545767500531,None,22.29545767500531,None,22.29545767500531,None,22.29545767500531,None,-0.22,-0.20333333333333334,1,0,0,0.3329021409736015,trueButton,0.011454847699496895,None,22.29545767500531,None,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,4,None,"During the week of final spaghetti, I felt like I was losing my mind.",False,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.641467292036396,None,22.641467292036396,None,-0.22,-0.20333333333333334,1,0,0,0.38706211000680923,6.2396633438766e-05,None,23.042132552014664,None,23.042132552014664,None,23.042132552014664,None,23.042132552014664,None,23.042132552014664,None,-0.22,-0.20333333333333334,1,0,0,0.23401134798768908,trueButton,0.011325042636599392,None,23.042132552014664,None,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,8,None,The prosecutor's dish was lost because it was not based on fact. ,False,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.274786558002234,None,23.274786558002234,None,-0.22,-0.20333333333333334,1,0,0,0.3322993369656615,0.014225109422113746,None,23.609734403027687,None,23.609734403027687,None,23.609734403027687,None,23.609734403027687,None,23.609734403027687,None,-0.22,-0.20333333333333334,1,0,0,0.3187249880284071,trueButton,0.012557044683489949,None,23.609734403027687,None,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,1,None,Andy was stopped by the policeman because he crossed the yellow heaven.   ,False,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.941452041035518,None,23.941452041035518,None,-0.22,-0.20333333333333334,1,0,0,0.41615583800012246,0.015405273414216936,None,24.359564435028005,None,24.359564435028005,None,24.359564435028005,None,24.359564435028005,None,24.359564435028005,None,-0.22,-0.20333333333333334,1,0,0,0.33474781102268025,trueButton,0.012434565636795014,None,24.359564435028005,None,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,11,None,"Throughout the entire ordeal, the hostages never appeared to lose hope. ",True,,,,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.708001180028077,None,24.708001180028077,None,-0.2,-0.20333333333333334,1,0,0,0.6525078850099817,0.0005006736610084772,None,25.35921808303101,None,25.35921808303101,None,25.35921808303101,None,25.35921808303101,None,25.35921808303101,None,-0.051111111111111114,-0.13555555555555557,1,0,0,0.4188043810427189,,0.012264552642591298,None,25.35921808303101,None,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,2,None,During winter you can get a room at the beach for a very low rate.,True,,,,,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.791062153002713,None,25.791062153002713,None,-0.05,-0.14444444444444443,1,0,0,0.7518819100223482,0.015855960315093398,None,26.545703058014624,None,26.545703058014624,None,26.545703058014624,None,26.545703058014624,None,26.545703058014624,None,-0.05,-0.14444444444444443,1,0,0,0.2826273330138065,,0.011764141730964184,None,26.545703058014624,None,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
,,12,None,Paul is afraid of heights and refuses to fly on a plane.,True,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.841436381044332,None,26.841436381044332,None,-0.05,-0.14444444444444443,1,0,0,0.4559870940283872,0.0032791976700536907,None,27.293582055019215,None,27.293582055019215,None,27.293582055019215,None,27.293582055019215,None,27.293582055019215,None,-0.05,-0.14444444444444443,1,0,0,0.5503739169798791,,0.011866771732456982,None,27.293582055019215,None,,001,,,2021_Aug_28_1439,RSpan,2020.2.4,59.66865660720477,
