FirstLetter,SecondLetter,ID,sentence,CorrectResp,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correct,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,senseText.started,senseText.stopped,trueButton.started,trueButton.stopped,trueText.started,trueText.stopped,falseButton.started,falseButton.stopped,falseText.started,falseText.stopped,mouse12.x,mouse12.y,mouse12.leftButton,mouse12.midButton,mouse12.rightButton,mouse12.time,mouse12.clicked_name,mouse12.started,mouse12.stopped,sentenceFeedback2.started,sentenceFeedback2.stopped,instr_7.started,instr_7.stopped,continue_8.started,continue_8.stopped,mouse_8.started,mouse_8.stopped,instr_8.started,instr_8.stopped,continue_9.started,continue_9.stopped,mouse_9.started,mouse_9.stopped,instr_9.started,instr_9.stopped,continue_10.started,continue_10.stopped,mouse_10.started,mouse_10.stopped,instr_10.started,instr_10.stopped,continue_11.started,continue_11.stopped,mouse_11.started,mouse_11.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,2,During winter you can get a room at the beach for a very low rate.,incorrect,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5510667909984477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.140898326000752,None,14.140898326000752,None,-0.16555555555555557,-0.19,1,0,0,1.455020125998999,0.002998779898916837,None,15.59259064499929,None,15.59259064499929,None,15.59259064499929,None,15.59259064499929,None,15.59259064499929,None,-0.16555555555555557,-0.19,1,0,0,0.5507159720000345,trueButton,0.01191918590120622,None,16.142550562002725,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1029,RSpan,2020.2.4,59.83356217723908,
,,3,People in our town are more giving and cheerful at Christmas time. ,correct,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.267528977998154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.15819663200091,None,17.15819663200091,None,-0.16555555555555557,-0.19,1,0,0,0.5547869479996734,0.002497547899110941,None,17.708541855001386,None,17.708541855001386,None,17.708541855001386,None,17.708541855001386,None,17.708541855001386,None,-0.17888888888888888,-0.19111111111111112,1,0,0,1.26718418100063,trueButton,0.011752617901947815,None,18.990937959999428,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1029,RSpan,2020.2.4,59.83356217723908,
,,4,"During the week of final spaghetti, I felt like I was losing my mind.",incorrect,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.3164112019985623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.008391728999413,None,20.008391728999413,None,-0.17888888888888888,-0.19111111111111112,1,0,0,1.4379574399972626,0.0017204409014084376,None,21.443047650001972,None,21.443047650001972,None,21.443047650001972,None,21.443047650001972,None,21.443047650001972,None,0.19555555555555557,-0.19666666666666666,1,0,0,1.3160546279978007,falseButton,0.01131497790265712,None,22.75950967800236,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1029,RSpan,2020.2.4,59.83356217723908,
,,5,"After final exams are over, we'll be able to take a well-deserved rest. ",correct,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.899257592001959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.790772902000754,None,23.790772902000754,None,0.14777777777777779,-0.15777777777777777,1,0,0,1.1531583280011546,4.2239902541041374e-05,None,24.945138358001714,None,24.945138358001714,None,24.945138358001714,None,24.945138358001714,None,24.945138358001714,None,-0.2,-0.18,1,0,0,0.8989555389998714,trueButton,0.011168384899065131,None,25.842423442001746,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1029,RSpan,2020.2.4,59.83356217723908,
,,6,"After a hard day at the office, Bill often stops at the club to relax. ",correct,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.7179954719977104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.87444952000078,None,26.87444952000078,None,-0.0033333333333333335,-0.11666666666666667,1,0,0,0.4866433790011797,0.002989660901221214,None,27.360610122999788,None,27.360610122999788,None,27.360610122999788,None,27.360610122999788,None,27.360610122999788,None,-0.1322222222222222,-0.17444444444444446,1,0,0,1.7176913929979492,trueButton,0.01228687690309016,None,29.07591572900128,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1029,RSpan,2020.2.4,59.83356217723908,
,,7,"No matter how much we talk to him, he is never going to change.",correct,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6155557199999748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.108261125002173,None,30.108261125002173,None,-0.1322222222222222,-0.17444444444444446,1,0,0,0.42279886200049077,0.0034702338998613413,None,30.525781816002564,None,30.525781816002564,None,30.525781816002564,None,30.525781816002564,None,30.525781816002564,None,-0.14,-0.17222222222222222,1,0,0,0.6152444349972939,trueButton,0.011607834901951719,None,31.1409100460005,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1029,RSpan,2020.2.4,59.83356217723908,
,,8,The prosecutor's dish was lost because it was not based on fact. ,incorrect,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.4522611910033447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.157724692002375,None,32.157724692002375,None,-0.01888888888888889,-0.13555555555555557,1,0,0,0.5381717689997458,0.003972609902120894,None,32.69201679099933,None,32.69201679099933,None,32.69201679099933,None,32.69201679099933,None,32.69201679099933,None,-0.01888888888888889,-0.13555555555555557,1,0,0,0.867954015997384,trueButton,0.012605654897924978,None,34.15803723800127,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1029,RSpan,2020.2.4,59.83356217723908,
,,9,Every now and then I catch myself swimming blankly at the wall.,incorrect,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0833442689981894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.17472490400178,None,35.17472490400178,None,-0.07555555555555556,-0.10555555555555556,1,0,0,1.1747614780033473,0.005407458902482176,None,36.3435982100018,None,36.3435982100018,None,36.3435982100018,None,36.3435982100018,None,36.3435982100018,None,0.25666666666666665,-0.16,1,0,0,1.0830570359976264,falseButton,0.011041428901080508,None,37.44251627400081,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1029,RSpan,2020.2.4,59.83356217723908,
,,10,We were fifty lawns out at sea before we lost sight of land.,incorrect,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8532848249997187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.45826300100089,None,38.45826300100089,None,-0.006666666666666667,-0.09,1,0,0,0.32123864499953925,0.0035146519003319554,None,38.776200272001006,None,38.776200272001006,None,38.776200272001006,None,38.776200272001006,None,38.776200272001006,None,-0.19111111111111112,-0.17888888888888888,1,0,0,0.8529145659995265,trueButton,0.012068695905327331,None,39.64078664599947,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1029,RSpan,2020.2.4,59.83356217723908,
,,11,"Throughout the entire ordeal, the hostages never appeared to lose hope. ",correct,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6144893220007361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.657957469000394,None,40.657957469000394,None,-0.03,-0.10555555555555556,1,0,0,0.4734659800014924,0.0034737339046841953,None,41.14090808400215,None,41.14090808400215,None,41.14090808400215,None,41.14090808400215,None,41.14090808400215,None,-0.1688888888888889,-0.15777777777777777,1,0,0,0.6140494479986955,trueButton,0.011315761901641963,None,41.75794225400023,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_29_1029,RSpan,2020.2.4,59.83356217723908,
