FirstLetter,SecondLetter,ID,sentence,CorrectResp,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,practiceSentence.thisRepN,practiceSentence.thisTrialN,practiceSentence.thisN,practiceSentence.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,sentenceTrial.thisRepN,sentenceTrial.thisTrialN,sentenceTrial.thisN,sentenceTrial.thisIndex,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,Correct/Incorrect,correctLettersPractice,routineTime,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,text_3.started,text_3.stopped,correct,senseText.started,senseText.stopped,trueButton.started,trueButton.stopped,trueText.started,trueText.stopped,falseButton.started,falseButton.stopped,falseText.started,falseText.stopped,mouse12.x,mouse12.y,mouse12.leftButton,mouse12.midButton,mouse12.rightButton,mouse12.time,mouse12.clicked_name,mouse12.started,mouse12.stopped,sentenceFeedback2.started,sentenceFeedback2.stopped,correctSentence,totalCorrectSentence,instr_7.started,instr_7.stopped,continue_8.started,continue_8.stopped,mouse_8.started,mouse_8.stopped,instr_8.started,instr_8.stopped,continue_9.started,continue_9.stopped,mouse_9.started,mouse_9.stopped,instr_9.started,instr_9.stopped,continue_10.started,continue_10.stopped,mouse_10.started,mouse_10.stopped,instr_10.started,instr_10.stopped,continue_11.started,continue_11.stopped,mouse_11.started,mouse_11.stopped,sentenceText2.started,sentenceText2.stopped,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.started,mouse_12.stopped,continue_13.started,continue_13.stopped,text.started,text.stopped,totalCorrectSentenceTrial,correctSentenceTrial,senseText_2.started,senseText_2.stopped,trueButton_2.started,trueButton_2.stopped,trueText_2.started,trueText_2.stopped,falseButton_2.started,falseButton_2.stopped,falseText_2.started,falseText_2.stopped,mouse12_2.x,mouse12_2.y,mouse12_2.leftButton,mouse12_2.midButton,mouse12_2.rightButton,mouse12_2.time,mouse12_2.clicked_name,mouse12_2.started,mouse12_2.stopped,letterAppear_3.started,letterAppear_3.stopped,correctLettersTrial,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,2,During winter you can get a room at the beach for a very low rate.,correct,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6003040260038688,,,,,,,,,,,,,,,,,,,19.61825779300125,None,19.61825779300125,None,-0.08444444444444445,-0.16444444444444445,1,0,0,0.4385718289995566,0.002462476899381727,None,19.61825779300125,None,Incorrect,20.06850350300374,None,20.06850350300374,None,20.06850350300374,None,20.06850350300374,None,20.06850350300374,None,-0.08444444444444445,-0.16444444444444445,1,0,0,0.26704349299689056,trueButton,0.011448520905105397,None,20.652517046000867,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1919,RSpan,2020.2.4,59.9518827367162,
,,3,People in our town are more giving and cheerful at Christmas time. ,correct,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3681437580016791,,,,,,,,,,,,,,,,,,,21.668017859999964,None,21.668017859999964,None,-0.15666666666666668,-0.17333333333333334,1,0,0,0.43868758500320837,0.003292342895292677,None,21.668017859999964,None,Incorrect,22.102485506002267,None,22.102485506002267,None,22.102485506002267,None,22.102485506002267,None,22.102485506002267,None,-0.15666666666666668,-0.17333333333333334,1,0,0,0.36780189399723895,trueButton,0.012261079900781624,None,22.485394699004246,None,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1919,RSpan,2020.2.4,59.9518827367162,
,,4,"During the week of final spaghetti, I felt like I was losing my mind.",incorrect,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8843908550043125,,,,,,,,,,,,,,,,,,,23.50123820900626,None,23.50123820900626,None,-0.09,-0.14555555555555555,1,0,0,0.8057974480034318,0.003607087899581529,None,23.50123820900626,None,Incorrect,24.30519494600594,None,24.30519494600594,None,24.30519494600594,None,24.30519494600594,None,24.30519494600594,None,-0.1388888888888889,-0.15888888888888889,1,0,0,0.8840905890028807,trueButton,0.010848620899196249,None,25.186848324003222,None,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1919,RSpan,2020.2.4,59.9518827367162,
,,5,"After final exams are over, we'll be able to take a well-deserved rest. ",correct,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39906886799872154,,,,,,,,,,,,,,,,,,,26.21795204400405,None,26.21795204400405,None,-0.1388888888888889,-0.15888888888888889,1,0,0,0.369631155001116,0.0004628058959497139,None,26.21795204400405,None,Correct!,26.585943003003194,None,26.585943003003194,None,26.585943003003194,None,26.585943003003194,None,26.585943003003194,None,-0.17444444444444446,-0.16555555555555557,1,0,0,0.3987262040027417,trueButton,0.011132978899695445,None,27.001033565000398,None,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1919,RSpan,2020.2.4,59.9518827367162,
,,6,"After a hard day at the office, Bill often stops at the club to relax. ",correct,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1833289580026758,,,,,,,,,,,,,,,,,,,28.018915177999588,None,28.018915177999588,None,-0.17444444444444446,-0.16555555555555557,1,0,0,0.1075201810017461,0.0033073508966481313,None,28.018915177999588,None,Incorrect,28.121468675999495,None,28.121468675999495,None,28.121468675999495,None,28.121468675999495,None,28.121468675999495,None,-0.17444444444444446,-0.16555555555555557,1,0,0,0.18298370800039265,trueButton,0.00999113289435627,None,28.31830876100139,None,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1919,RSpan,2020.2.4,59.9518827367162,
,,7,"No matter how much we talk to him, he is never going to change.",correct,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19847549899714068,,,,,,,,,,,,,,,,,,,29.335185069001454,None,29.335185069001454,None,-0.17444444444444446,-0.16555555555555557,1,0,0,0.3070249189986498,0.0043676308923750184,None,29.335185069001454,None,Correct!,29.63672114200017,None,29.63672114200017,None,29.63672114200017,None,29.63672114200017,None,29.63672114200017,None,-0.17444444444444446,-0.16555555555555557,1,0,0,0.19814410000253702,trueButton,0.011121206895040814,None,29.85200096200424,None,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1919,RSpan,2020.2.4,59.9518827367162,
,,8,The prosecutor's dish was lost because it was not based on fact. ,incorrect,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21711150700139115,,,,,,,,,,,,,,,,,,,30.867987236000772,None,30.867987236000772,None,-0.17333333333333334,-0.16777777777777778,1,0,0,0.207327225994959,0.004893827892374247,None,30.867987236000772,None,Incorrect,31.08543715700216,None,31.08543715700216,None,31.08543715700216,None,31.08543715700216,None,31.08543715700216,None,-0.17333333333333334,-0.16777777777777778,1,0,0,0.2168578790005995,trueButton,0.011257722908339929,None,31.302167857000313,None,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1919,RSpan,2020.2.4,59.9518827367162,
,,9,Every now and then I catch myself swimming blankly at the wall.,incorrect,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20186456300143618,,,,,,,,,,,,,,,,,,,32.31790069800627,None,32.31790069800627,None,-0.17333333333333334,-0.17,1,0,0,0.10505869900225662,0.00328812790394295,None,32.31790069800627,None,Incorrect,32.41853984500631,None,32.41853984500631,None,32.41853984500631,None,32.41853984500631,None,32.41853984500631,None,-0.17333333333333334,-0.17,1,0,0,0.20147067699872423,trueButton,0.012414127901138272,None,32.63439181600552,None,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1919,RSpan,2020.2.4,59.9518827367162,
,,10,We were fifty lawns out at sea before we lost sight of land.,incorrect,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21650945399596822,,,,,,,,,,,,,,,,,,,33.65106471400213,None,33.65106471400213,None,-0.17333333333333334,-0.17,1,0,0,0.12355873300111853,0.00381064089742722,None,33.65106471400213,None,Incorrect,33.770179292005196,None,33.770179292005196,None,33.770179292005196,None,33.770179292005196,None,33.770179292005196,None,-0.17333333333333334,-0.17,1,0,0,0.21620687399990857,trueButton,0.011123193900857586,None,33.98596519700368,None,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1919,RSpan,2020.2.4,59.9518827367162,
,,11,"Throughout the entire ordeal, the hostages never appeared to lose hope. ",correct,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4817578330039396,,,,,,,,,,,,,,,,,,,35.00161318000028,None,35.00161318000028,None,-0.17333333333333334,-0.17,1,0,0,0.12218191900319653,0.0033396758954040706,None,35.00161318000028,None,Correct!,35.119550524999795,None,35.119550524999795,None,35.119550524999795,None,35.119550524999795,None,35.119550524999795,None,-0.17333333333333334,-0.1711111111111111,1,0,0,0.48149430000194116,trueButton,0.011485969895147718,None,35.618009739002446,None,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1919,RSpan,2020.2.4,59.9518827367162,
