FirstLetter,SecondLetter,ID,sentence,CorrectResp,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,practiceSentence.thisRepN,practiceSentence.thisTrialN,practiceSentence.thisN,practiceSentence.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,sentenceTrial.thisRepN,sentenceTrial.thisTrialN,sentenceTrial.thisN,sentenceTrial.thisIndex,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correctLettersPractice,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,text_3.started,text_3.stopped,correct,senseText.started,senseText.stopped,trueButton.started,trueButton.stopped,trueText.started,trueText.stopped,falseButton.started,falseButton.stopped,falseText.started,falseText.stopped,mouse12.x,mouse12.y,mouse12.leftButton,mouse12.midButton,mouse12.rightButton,mouse12.time,mouse12.clicked_name,mouse12.started,mouse12.stopped,sentenceFeedback2.started,sentenceFeedback2.stopped,correctSentence,totalCorrectSentence,instr_7.started,instr_7.stopped,continue_8.started,continue_8.stopped,mouse_8.started,mouse_8.stopped,instr_8.started,instr_8.stopped,continue_9.started,continue_9.stopped,mouse_9.started,mouse_9.stopped,instr_9.started,instr_9.stopped,continue_10.started,continue_10.stopped,mouse_10.started,mouse_10.stopped,instr_10.started,instr_10.stopped,continue_11.started,continue_11.stopped,mouse_11.started,mouse_11.stopped,sentenceText2.started,sentenceText2.stopped,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.started,mouse_12.stopped,continue_13.started,continue_13.stopped,text.started,text.stopped,totalCorrectSentenceTrial,correctSentenceTrial,senseText_2.started,senseText_2.stopped,trueButton_2.started,trueButton_2.stopped,trueText_2.started,trueText_2.stopped,falseButton_2.started,falseButton_2.stopped,falseText_2.started,falseText_2.stopped,mouse12_2.x,mouse12_2.y,mouse12_2.leftButton,mouse12_2.midButton,mouse12_2.rightButton,mouse12_2.time,mouse12_2.clicked_name,mouse12_2.started,mouse12_2.stopped,letterAppear_3.started,letterAppear_3.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,2,During winter you can get a room at the beach for a very low rate.,incorrect,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33377071200084174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.407303985994076,None,20.407303985994076,None,-0.10555555555555556,-0.19111111111111112,1,0,0,1.137331940997683,0.0027496737020555884,None,20.407303985994076,None,Incorrect,21.556674643994484,None,21.556674643994484,None,21.556674643994484,None,21.556674643994484,None,21.556674643994484,None,-0.21555555555555556,-0.20444444444444446,1,0,0,0.3333579380050651,trueButton,0.011926643710467033,None,21.890985018995707,None,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1854,RSpan,2020.2.4,60.27974588449634,
,,3,People in our town are more giving and cheerful at Christmas time. ,correct,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8965500560007058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.90666680999857,None,22.90666680999857,None,-0.05,-0.15666666666666668,1,0,0,2.3725779240048723,0.0031073346981429495,None,22.90666680999857,None,Correct!,25.290399680998235,None,25.290399680998235,None,25.290399680998235,None,25.290399680998235,None,25.290399680998235,None,-0.28444444444444444,-0.22,1,0,0,0.43309964500076603,trueButton,0.011067882696806919,None,26.172181975998683,None,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1854,RSpan,2020.2.4,60.27974588449634,
,,4,"During the week of final spaghetti, I felt like I was losing my mind.",incorrect,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29707445299573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.19085532099416,None,27.19085532099416,None,0.012222222222222223,-0.11222222222222222,1,0,0,1.0732462279993342,0.0032968367013381794,None,27.19085532099416,None,Correct!,28.273249380996276,None,28.273249380996276,None,28.273249380996276,None,28.273249380996276,None,28.273249380996276,None,0.16444444444444445,-0.1811111111111111,1,0,0,1.2967616909954813,falseButton,0.010823066702869255,None,29.557954662996053,None,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1854,RSpan,2020.2.4,60.27974588449634,
,,5,"After final exams are over, we'll be able to take a well-deserved rest. ",correct,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6820780859998195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.573387017997447,None,30.573387017997447,None,0.034444444444444444,-0.17,1,0,0,1.7042569600016577,0.0018801926999003626,None,30.573387017997447,None,Correct!,32.28972657700069,None,32.28972657700069,None,32.28972657700069,None,32.28972657700069,None,32.28972657700069,None,-0.1411111111111111,-0.18222222222222223,1,0,0,0.6817284029966686,trueButton,0.01125855470309034,None,32.956441283997265,None,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1854,RSpan,2020.2.4,60.27974588449634,
,,6,"After a hard day at the office, Bill often stops at the club to relax. ",correct,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601301375994808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.97409705599421,None,33.97409705599421,None,0.05444444444444444,-0.14888888888888888,1,0,0,1.1872740980033996,0.0026049367006635293,None,33.97409705599421,None,Incorrect,35.17349711899442,None,35.17349711899442,None,35.17349711899442,None,35.17349711899442,None,35.17349711899442,None,-0.17777777777777778,-0.16,1,0,0,0.6009574290001183,trueButton,0.012205887695017736,None,35.77394050899602,None,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1854,RSpan,2020.2.4,60.27974588449634,
,,7,"No matter how much we talk to him, he is never going to change.",correct,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6959147169982316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.790546096999606,None,36.790546096999606,None,-0.08555555555555555,-0.14888888888888888,1,0,0,1.2729262759967241,0.003512843708449509,None,36.790546096999606,None,Correct!,38.073285369995574,None,38.073285369995574,None,38.073285369995574,None,38.073285369995574,None,38.073285369995574,None,-0.15666666666666668,-0.17444444444444446,1,0,0,0.6957035390005331,trueButton,0.011100664705736563,None,38.75692529599473,None,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1854,RSpan,2020.2.4,60.27974588449634,
,,8,The prosecutor's dish was lost because it was not based on fact. ,incorrect,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1182970890004071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.77326102299412,None,39.77326102299412,None,-0.09333333333333334,-0.1622222222222222,1,0,0,1.1229247319934075,0.0048780297074699774,None,39.77326102299412,None,Correct!,40.890635541996744,None,40.890635541996744,None,40.890635541996744,None,40.890635541996744,None,40.890635541996744,None,0.21555555555555556,-0.16111111111111112,1,0,0,1.1178636330005247,falseButton,0.012446392698620912,None,42.00761635899835,None,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1854,RSpan,2020.2.4,60.27974588449634,
,,9,Every now and then I catch myself swimming blankly at the wall.,incorrect,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9674173469975358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.02394375599397,None,43.02394375599397,None,0.03,-0.1388888888888889,1,0,0,0.2577503799984697,0.004471962703973986,None,43.02394375599397,None,Incorrect,43.290793827000016,None,43.290793827000016,None,43.290793827000016,None,43.290793827000016,None,43.290793827000016,None,0.03,-0.1388888888888889,1,0,0,0.24965725299989572,trueButton,0.00985324069915805,None,44.25671909299854,None,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1854,RSpan,2020.2.4,60.27974588449634,
,,10,We were fifty lawns out at sea before we lost sight of land.,incorrect,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8351659330000984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.273383849998936,None,45.273383849998936,None,-0.04111111111111111,-0.18333333333333332,1,0,0,0.04020366299664602,0.0037822696976945736,None,45.273383849998936,None,Incorrect,45.3084097289975,None,45.3084097289975,None,45.3084097289975,None,45.3084097289975,None,45.3084097289975,None,-0.12444444444444444,-0.18666666666666668,1,0,0,0.4501131799988798,trueButton,0.012271227700693998,None,46.15746513100021,None,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1854,RSpan,2020.2.4,60.27974588449634,
,,11,"Throughout the entire ordeal, the hostages never appeared to lose hope. ",correct,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18260121099592652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.17325713599712,None,47.17325713599712,None,-0.17777777777777778,-0.18444444444444444,1,0,0,0.12350633599999128,0.0028270496986806393,None,47.17325713599712,None,Correct!,47.30737877799402,None,47.30737877799402,None,47.30737877799402,None,47.30737877799402,None,47.30737877799402,None,-0.17777777777777778,-0.18444444444444444,1,0,0,0.182185069003026,trueButton,0.010541791700234171,None,47.490558212994074,None,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_30_1854,RSpan,2020.2.4,60.27974588449634,
