FirstLetter,SecondLetter,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ID,Weight,sentence,CorrectResp,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correct,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,4.5476809369865805,None,4.5476809369865805,None,0.00773859495529905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1454,RSpan,2020.2.4,60.5358720169404,
,,,,,,,,,,,,,,,,,,,,4.7957725310116075,None,4.7957725310116075,None,0.014012405008543283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1454,RSpan,2020.2.4,60.5358720169404,
,,,,,,,,,,,,,,,,,,,,,,,,,,4.979649465996772,None,4.979649465996772,None,0.014506284904200584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1454,RSpan,2020.2.4,60.5358720169404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.196444325032644,None,5.196444325032644,None,0.014200099918525666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1454,RSpan,2020.2.4,60.5358720169404,
1,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.612622437009122,6.612659525999334,6.595928693015594,None,-0.3688888888888889,-0.43222222222222223,1,0,0,None,None,0,1.0510904070106335,-0.27444444444444444,0.07222222222222222,1,0,0,0.2864991330425255,exitButton,0.014128353970590979,None,[],[],[],[],[],[],[],0.014128353970590979,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,7.628941550035961,None,-0.3688888888888889,-0.43222222222222223,1,0,0,0.014128353970590979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1454,RSpan,2020.2.4,60.5358720169404,
2,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.661555281025358,9.662529261026066,9.646108016022481,None,-0.3477777777777778,-0.38666666666666666,1,0,0,None,None,0,1.0811700010090135,-0.31444444444444447,-0.24333333333333335,1,0,0,0.2717701819492504,exitButton,0.014514797017909586,None,[],[],[],[],[],[],[],0.014514797017909586,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,10.66191018500831,None,-0.3477777777777778,-0.38666666666666666,1,0,0,0.014514797017909586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1454,RSpan,2020.2.4,60.5358720169404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.73034369200468,None,11.73034369200468,None,0.01062038604868576,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1454,RSpan,2020.2.4,60.5358720169404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.378822946979199,None,12.378822946979199,None,0.015321941929869354,None,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1454,RSpan,2020.2.4,60.5358720169404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.595718967029825,None,12.595718967029825,None,0.013939090946223587,None,,,,,,,,,,,,,,001,,,2021_Aug_28_1454,RSpan,2020.2.4,60.5358720169404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.979183956980705,None,12.979183956980705,None,-0.34555555555555556,-0.38222222222222224,1,0,0,0.39213287603342906,0.004878594947513193,None,,,,,,,,,
