FirstLetter,SecondLetter,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ID,sentence,CorrectResp,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear_2.started,letterAppear_2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,correct,routineTime,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,instr_4.started,instr_4.stopped,continue_5.started,continue_5.stopped,mouse_5.started,mouse_5.stopped,instr_5.started,instr_5.stopped,continue_6.started,continue_6.stopped,mouse_6.started,mouse_6.stopped,instr_6.started,instr_6.stopped,continue_7.started,continue_7.stopped,mouse_7.started,mouse_7.stopped,sentenceText.started,sentenceText.stopped,continue_12.started,continue_12.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,4.563221153000086,None,4.563221153000086,None,0.015206718200147407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1615,RSpan,2020.2.4,59.82961864790095,
,,,,,,,,,,,,,,,,,,,4.761667145000047,None,4.761667145000047,None,0.015504087799968147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1615,RSpan,2020.2.4,59.82961864790095,
,,,,,,,,,,,,,,,,,,,,,,,,,4.928589217000081,None,4.928589217000081,None,0.014115944799982572,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1615,RSpan,2020.2.4,59.82961864790095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.099897775000045,None,5.099897775000045,None,0.015508568799987188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1615,RSpan,2020.2.4,59.82961864790095,
1,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2809297890000835,6.29590208500008,6.2623222690000375,None,-0.42333333333333334,-0.41555555555555557,1,0,0,None,None,0,0.6315654809999387,-0.2477777777777778,0.042222222222222223,1,0,0,0.08580819600001632,exitButton,0.014025699799958602,None,[],[],[],[],[],[],[],0.014025699799958602,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,7.297753119000049,None,-0.42333333333333334,-0.41555555555555557,1,0,0,0.014025699799958602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1615,RSpan,2020.2.4,59.82961864790095,
2,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.913057061000018,8.913327312000092,8.89615213400009,None,-0.39111111111111113,-0.4111111111111111,1,0,0,None,None,0,0.6154581910000161,-0.26,-0.18888888888888888,1,0,0,0.07038999400003831,exitButton,0.014636447799944108,None,[],[],[],[],[],[],[],0.014636447799944108,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,9.913638702000071,None,-0.39111111111111113,-0.4111111111111111,1,0,0,0.014636447799944108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1615,RSpan,2020.2.4,59.82961864790095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.515538002000085,None,10.515538002000085,None,0.01002430760001971,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1615,RSpan,2020.2.4,59.82961864790095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.129942478000089,None,11.129942478000089,None,0.014269872800014127,None,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1615,RSpan,2020.2.4,59.82961864790095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.379644828000096,None,11.379644828000096,None,0.014692504799995731,None,,,,,,,,,,,,,,001,,,2021_Aug_28_1615,RSpan,2020.2.4,59.82961864790095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.831295059000013,None,11.831295059000013,None,-0.3011111111111111,-0.27555555555555555,1,0,0,0.40934166700003516,0.0067768186000876085,None,,,,,,,,,
