ID,Weight,Letters,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,introScreen.started,introScreen.stopped,responseIndicator1.started,responseIndicator1.stopped,mouse_1.started,mouse_1.stopped,instr_1.started,instr_1.stopped,continue_2.started,continue_2.stopped,mouse_2.started,mouse_2.stopped,instr_2.started,instr_2.stopped,continue_3.started,continue_3.stopped,mouse_3.started,mouse_3.stopped,instr_3.started,instr_3.stopped,continue_4.started,continue_4.stopped,mouse_4.started,mouse_4.stopped,letterAppear.started,letterAppear.stopped,letterAppear2.started,letterAppear2.stopped,mouseClear.x,mouseClear.y,mouseClear.leftButton,mouseClear.midButton,mouseClear.rightButton,mouseClear.started,mouseClear.stopped,mouseExit.x,mouseExit.y,mouseExit.leftButton,mouseExit.midButton,mouseExit.rightButton,mouseExit.time,mouseExit.clicked_name,mouseExit.started,mouseExit.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,mouse1.started,mouse1.stopped,blankButton.started,blankButton.stopped,gatherResponseText.started,gatherResponseText.stopped,Fbutton.started,Fbutton.stopped,F_text.started,F_text.stopped,Pbutton.started,Pbutton.stopped,Qbutton.started,Qbutton.stopped,Jbutton.started,Jbutton.stopped,Hbutton.started,Hbutton.stopped,Kbutton.started,Kbutton.stopped,Tbutton.started,Tbutton.stopped,Sbutton.started,Sbutton.stopped,Nbutton.started,Nbutton.stopped,Rbutton.started,Rbutton.stopped,Ybutton.started,Ybutton.stopped,Lbutton.started,Lbutton.stopped,clearButton.started,clearButton.stopped,exitButton.started,exitButton.stopped,exitText.started,exitText.stopped,clearText.started,clearText.stopped,P_text.started,P_text.stopped,Q_text.started,Q_text.stopped,J_text.started,J_text.stopped,H_text.started,H_text.stopped,K_text.started,K_text.stopped,T_text.started,T_text.stopped,S_text.started,S_text.stopped,N_text.started,N_text.stopped,R_text.started,R_text.stopped,Y_text.started,Y_text.stopped,L_text.started,L_text.stopped,blankText.started,blankText.stopped,answer1.started,answer1.stopped,answer2.started,answer2.stopped,mouseBlank.x,mouseBlank.y,mouseBlank.leftButton,mouseBlank.midButton,mouseBlank.rightButton,mouseBlank.started,mouseBlank.stopped,participant,session,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,6.5414039680035785,None,6.5414039680035785,None,0.005050881300121546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1257,RSpan,2020.2.4,59.970417791861614,
,,,,,,,,,,,,,7.125252850994002,None,7.125252850994002,None,0.010470770939718932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1257,RSpan,2020.2.4,59.970417791861614,
,,,,,,,,,,,,,,,,,,,7.708282625011634,None,7.708282625011634,None,0.01411969686159864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1257,RSpan,2020.2.4,59.970417791861614,
,,,,,,,,,,,,,,,,,,,,,,,,,8.09198867197847,None,8.09198867197847,None,0.015446933917701244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2021_Aug_28_1257,RSpan,2020.2.4,59.970417791861614,
3,1,Q,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,8.811359636019915,None,9.794508021033835,None,-0.4388888888888889,-0.3844444444444444,1,0,0,None,None,-0.3,0.11,1,0,0,1.1184925450361334,exitButton,0.015041675884276628,None,[],[],[],[],[],[],[],0.015041675884276628,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,10.828548716031946,None,-0.4388888888888889,-0.3844444444444444,1,0,0,0.015041675884276628,None,,001,,,2021_Aug_28_1257,RSpan,2020.2.4,59.970417791861614,
1,1,F,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,13.111243336985353,None,14.11180657701334,None,-0.35333333333333333,-0.38222222222222224,1,0,0,None,None,-0.2922222222222222,0.0011111111111111111,1,0,0,0.6709608110249974,exitButton,0.015021760889794677,None,[],[],[],[],[],[],[],0.015021760889794677,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,15.127819343993906,None,-0.35333333333333333,-0.38222222222222224,1,0,0,0.015021760889794677,None,,001,,,2021_Aug_28_1257,RSpan,2020.2.4,59.970417791861614,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.39630023902282,None,17.41177163203247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
